metodo;plaza;region;sexo;edad;educacion;imagen_massa;imagen_milei;teme;votara_milei;votara_massa;ballotage_votara;votara_hoy;p9_p10;combinada;general_voto;weight1;weight2;cr1;cr2;cr3;cr4;cr5;cr6;cr7;cr8;cr9;cr10;cr11
Presencial;Córdoba;Centro;Femenino;16 a 23;Nivel Secundario, ya sea completo o incompleto;Muy negativa;Algo negativa;Que gane Sergio Massa;Podría llegar a votarlo;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Myriam Bregman del Frente de Izquierda;1.22057;0.92891;Femenino;16-23;Secundario;Centro;Negativa;Negativa;Massa;Podría;Nunca;Milei;Bregman
Presencial;Córdoba;Centro;Femenino;30 a 49;Nivel Secundario, ya sea completo o incompleto;Muy negativa;Muy negativa;Las dos posibilidades me dan el mismo miedo;Podría llegar a votarlo;Nunca lo votaría;Está indeciso;Javier Milei;Javier Milei;Javier Milei;Juan Schiaretti de Hacemos por nuestro país;1.03789;0.76814;Femenino;30-49;Secundario;Centro;Negativa;Negativa;Massa;Podría;Nunca;Milei;Schiaretti
Presencial;Córdoba;Centro;Masculino;16 a 23;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positiva;Algo positiva;Las dos posibilidades me dan el mismo miedo;Seguro lo votaría;Podría llegar a votarlo;Javier Milei;;Javier Milei;Javier Milei;Votó en blanco;0.85475;0.3985;Masculino;16-23;Terciario;Centro;Positiva;Positiva;Massa;Seguro;Podría;Milei;Blanco
Presencial;Córdoba;Centro;Masculino;30 a 49;Nivel Secundario, ya sea completo o incompleto;Muy negativa;Muy negativa;Que gane Sergio Massa;Podría llegar a votarlo;Nunca lo votaría;Votará en blanco;;Votará en blanco;Votará en blanco;Juan Schiaretti de Hacemos por nuestro país;0.9913;0.72991;Masculino;30-49;Secundario;Centro;Negativa;Negativa;Massa;Podría;Nunca;Indeciso/Blano/No;Schiaretti
Presencial;Córdoba;Centro;Femenino;Mayor de 50;Nivel Primario, ya sea completo o incompleto;Algo positiva;Muy negativa;Las dos posibilidades me dan el mismo miedo;Nunca lo votaría;Nunca lo votaría;Votará en blanco;;Votará en blanco;Votará en blanco;Juan Schiaretti de Hacemos por nuestro país;1.32062;0.97859;Femenino;50 y más;Primario;Centro;Positiva;Negativa;Massa;Nunca;Nunca;Indeciso/Blano/No;Schiaretti
Presencial;Córdoba;Centro;Masculino;Mayor de 50;Nivel Primario, ya sea completo o incompleto;Algo positiva;Muy negativa;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;;Sergio Massa;Sergio Massa;Javier Milei de la Libertad Avanza;1.26133;1.86111;Masculino;50 y más;Primario;Centro;Positiva;Negativa;Milei;Nunca;Seguro;Massa;Milei
Presencial;Lobería;Interior PBA;Masculino;30 a 49;Nivel Secundario, ya sea completo o incompleto;Algo positiva;Algo negativa;Las dos posibilidades me dan el mismo miedo;Nunca lo votaría;Podría llegar a votarlo;Sergio Massa;;Sergio Massa;Sergio Massa;No fué a votar;0.94197;0.10412;Masculino;30-49;Secundario;Interior PBA;Positiva;Negativa;Massa;Nunca;Podría;Massa;No fue
Presencial;Lobería;Interior PBA;Femenino;Mayor de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy negativa;Muy positiva;Que gane Sergio Massa;Seguro lo votaría;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Patricia Bullrich de Juntos por el cambio;0.68352;0.7747;Femenino;50 y más;Terciario;Interior PBA;Negativa;Positiva;Massa;Seguro;Nunca;Milei;Bullrich
Presencial;Lobería;Interior PBA;Masculino;Mayor de 50;Nivel Primario, ya sea completo o incompleto;Muy negativa;Muy negativa;Las dos posibilidades me dan el mismo miedo;Nunca lo votaría;Nunca lo votaría;Votará en blanco;;Votará en blanco;Votará en blanco;Votó en blanco;1.19857;0.5766;Masculino;50 y más;Primario;Interior PBA;Negativa;Negativa;Massa;Nunca;Nunca;Indeciso/Blano/No;Blanco
Presencial;Lobería;Interior PBA;Femenino;16 a 23;Nivel Secundario, ya sea completo o incompleto;Algo negativa;Algo positiva;Que gane Sergio Massa;Seguro lo votaría;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Javier Milei de la Libertad Avanza;1.15984;1.58489;Femenino;16-23;Secundario;Interior PBA;Negativa;Positiva;Massa;Seguro;Nunca;Milei;Milei
Presencial;Lobería;Interior PBA;Femenino;Mayor de 50;Nivel Primario, ya sea completo o incompleto;Algo negativa;Algo negativa;Que gane Javier Milei;Podría llegar a votarlo;Nunca lo votaría;Sergio Massa;;Sergio Massa;Sergio Massa;Sergio Massa de Unión por la Patria;1.2549;1.40111;Femenino;50 y más;Primario;Interior PBA;Negativa;Negativa;Milei;Podría;Nunca;Massa;Massa
Presencial;Lobería;Interior PBA;Masculino;Mayor de 50;Nivel Primario, ya sea completo o incompleto;Algo positiva;Muy negativa;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;;Sergio Massa;Sergio Massa;Juan Schiaretti de Hacemos por nuestro país;1.19857;0.86077;Masculino;50 y más;Primario;Interior PBA;Positiva;Negativa;Milei;Nunca;Seguro;Massa;Schiaretti
